Attrition,Age,BusinessTravel,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,StockOptionLevel,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager
Yes,41,Travel_Rarely,2,3,5,Research Director,3,Married,19545,No,0,23,3,22,15,8
No,34,Non-Travel,2,3,2,Sales Executive,3,Single,4568,No,0,10,3,9,5,7
No,37,Travel_Rarely,2,3,1,Research Scientist,2,Married,3022,No,0,8,3,1,0,0
No,46,Travel_Frequently,1,3,2,Sales Executive,4,Single,5772,Yes,0,14,3,9,6,8
No,35,Travel_Rarely,4,4,1,Laboratory Technician,4,Married,2269,No,0,1,3,1,0,1
Yes,48,Travel_Rarely,1,2,3,Laboratory Technician,3,Single,5381,Yes,0,23,3,1,0,0
Yes,28,Travel_Rarely,3,3,1,Laboratory Technician,3,Single,3441,Yes,0,2,2,2,2,2
No,44,Travel_Rarely,2,3,2,Sales Executive,1,Divorced,5454,Yes,1,9,2,4,3,3
No,35,Non-Travel,3,2,3,Healthcare Representative,1,Married,9884,Yes,1,10,3,4,0,3
No,26,Travel_Rarely,3,2,2,Sales Executive,4,Married,4157,Yes,1,5,2,2,2,0
No,33,Travel_Frequently,1,3,3,Research Director,4,Single,13458,Yes,0,15,3,15,14,12
No,35,Travel_Frequently,2,3,3,Sales Executive,1,Married,9069,No,1,9,2,9,8,8
No,35,Travel_Rarely,3,3,1,Laboratory Technician,1,Married,4014,Yes,1,4,3,2,2,2
No,31,Travel_Rarely,4,3,2,Laboratory Technician,4,Divorced,5915,No,1,10,2,7,7,7
No,37,Travel_Rarely,1,2,2,Manufacturing Director,3,Divorced,5993,No,1,7,4,7,5,7
No,32,Travel_Rarely,1,3,2,Manufacturing Director,4,Married,6162,Yes,1,9,3,9,8,8
No,38,Travel_Frequently,4,3,2,Laboratory Technician,4,Single,2406,No,0,10,3,10,3,9
No,50,Travel_Rarely,2,2,5,Research Director,3,Divorced,18740,Yes,1,29,2,27,3,8
No,59,Travel_Rarely,1,3,3,Sales Executive,1,Single,7637,No,0,28,2,21,16,9
No,36,Travel_Rarely,3,3,3,Healthcare Representative,3,Divorced,10096,No,3,17,3,17,14,8
No,55,Travel_Rarely,4,3,4,Manager,3,Divorced,14756,Yes,3,21,3,5,0,2
No,36,Travel_Frequently,2,2,2,Manufacturing Director,2,Single,6499,No,0,6,3,6,5,3
No,45,Travel_Rarely,2,3,3,Research Scientist,1,Divorced,9724,No,1,25,3,1,0,0
No,35,Travel_Frequently,2,3,1,Research Scientist,1,Married,2194,No,1,5,2,3,2,2
Yes,36,Travel_Rarely,4,2,1,Research Scientist,3,Married,3388,Yes,1,2,2,1,0,0
No,59,Travel_Frequently,1,2,2,Sales Executive,3,Single,5473,No,0,20,2,4,3,3
No,29,Travel_Rarely,3,3,1,Research Scientist,2,Married,2703,No,1,6,3,5,4,4
No,31,Travel_Rarely,3,3,1,Research Scientist,2,Single,2501,No,0,1,3,1,1,0
No,32,Travel_Rarely,2,3,2,Research Scientist,2,Married,6220,No,2,10,3,10,4,9
No,36,Travel_Rarely,2,4,1,Laboratory Technician,4,Married,3038,No,0,5,3,1,0,0
No,31,Travel_Rarely,3,3,2,Manufacturing Director,4,Single,4424,No,0,11,3,11,7,8
No,35,Travel_Rarely,3,2,2,Sales Executive,1,Single,4312,No,0,16,3,15,13,8
No,45,Travel_Rarely,4,3,3,Research Director,1,Married,13245,Yes,0,17,4,0,0,0
No,37,Travel_Rarely,1,3,3,Research Director,3,Single,13664,No,0,16,4,5,2,2
No,46,Travel_Rarely,2,3,2,Human Resources,2,Divorced,5021,Yes,1,16,3,4,2,2
No,30,Travel_Rarely,4,2,2,Laboratory Technician,4,Married,5126,Yes,2,10,2,10,8,0
No,35,Travel_Rarely,2,2,1,Research Scientist,3,Single,2859,No,0,6,3,6,4,4
No,55,Travel_Rarely,1,3,3,Sales Executive,4,Married,10239,No,1,24,3,1,0,0
No,38,Non-Travel,2,1,2,Research Scientist,4,Divorced,5329,Yes,3,17,3,13,11,9
No,34,Travel_Rarely,1,3,2,Manufacturing Director,2,Married,4325,No,0,5,3,5,2,3
No,56,Travel_Rarely,4,1,3,Manufacturing Director,4,Single,7260,No,0,37,2,6,4,2
No,23,Travel_Rarely,3,3,1,Sales Representative,1,Divorced,2322,No,1,3,3,0,0,0
No,51,Travel_Rarely,4,3,1,Laboratory Technician,4,Married,2075,No,2,10,3,4,2,3
No,30,Travel_Rarely,3,2,2,Healthcare Representative,4,Married,4152,No,3,11,3,11,10,8
Yes,46,Travel_Rarely,3,2,3,Sales Executive,4,Single,9619,No,0,9,3,9,8,7
No,40,Travel_Frequently,3,2,4,Healthcare Representative,2,Married,13503,No,1,22,2,22,3,11
No,51,Travel_Rarely,3,3,2,Sales Executive,4,Single,5441,Yes,0,11,1,10,7,0
No,30,Travel_Rarely,3,2,2,Sales Executive,2,Divorced,5209,Yes,3,11,2,11,8,7
No,46,Travel_Frequently,3,2,3,Healthcare Representative,1,Married,10673,Yes,1,21,2,10,9,5
No,32,Travel_Rarely,2,3,2,Sales Executive,3,Single,5010,No,0,12,3,11,8,7
No,54,Travel_Rarely,1,3,3,Research Director,3,Married,13549,No,1,16,1,4,3,3
No,24,Travel_Rarely,1,3,2,Sales Executive,3,Married,4999,No,1,4,2,3,2,2
No,28,Non-Travel,2,3,2,Sales Executive,3,Married,4221,No,0,5,4,5,4,4
No,58,Travel_Rarely,4,3,4,Sales Executive,3,Single,13872,No,0,38,2,37,10,8
No,44,Non-Travel,2,3,2,Laboratory Technician,2,Married,2042,No,1,17,4,3,2,2
Yes,37,Travel_Rarely,3,3,1,Human Resources,1,Divorced,2073,Yes,0,7,3,3,2,2
No,32,Travel_Rarely,4,3,1,Research Scientist,1,Single,2956,No,0,1,3,1,0,0
Yes,20,Travel_Frequently,4,2,1,Laboratory Technician,4,Single,2926,Yes,0,1,3,1,0,0
No,34,Travel_Rarely,1,3,2,Research Scientist,3,Single,4809,No,0,16,3,16,13,10
No,37,Non-Travel,3,2,2,Healthcare Representative,4,Divorced,5163,No,1,17,4,1,0,0
No,59,Non-Travel,3,2,5,Manager,4,Married,18844,No,1,30,3,3,2,2
No,50,Travel_Frequently,1,3,5,Research Director,2,Married,18172,Yes,0,28,2,8,3,7
Yes,25,Travel_Rarely,3,2,2,Sales Executive,3,Single,5744,Yes,0,6,3,6,4,3
No,25,Travel_Rarely,4,2,1,Research Scientist,4,Married,2889,No,2,2,3,2,2,1
No,22,Travel_Rarely,2,3,1,Laboratory Technician,4,Single,2871,No,0,1,3,0,0,0
No,51,Travel_Frequently,1,2,3,Healthcare Representative,1,Single,7484,No,0,23,2,13,12,8
Yes,34,Travel_Frequently,1,1,2,Laboratory Technician,3,Single,6074,Yes,0,9,3,9,7,6
No,54,Non-Travel,4,4,4,Manager,4,Single,17328,Yes,0,23,3,5,3,4
No,24,Travel_Rarely,2,3,1,Laboratory Technician,3,Married,2774,No,1,6,3,5,3,2
No,34,Travel_Rarely,3,2,2,Research Scientist,2,Divorced,4505,No,1,12,3,1,0,0
No,37,Travel_Rarely,3,3,3,Sales Executive,4,Single,7428,No,0,12,3,5,3,3
No,34,Travel_Rarely,3,2,3,Manager,1,Single,11631,No,0,14,3,11,10,8
No,36,Travel_Frequently,2,3,3,Sales Executive,4,Married,9738,No,1,10,3,9,7,8
No,36,Travel_Rarely,1,3,1,Laboratory Technician,4,Divorced,2835,No,1,7,3,1,0,0
No,43,Travel_Frequently,3,3,4,Manager,4,Married,16959,Yes,2,25,4,25,12,12
No,30,Travel_Frequently,1,1,1,Research Scientist,3,Divorced,2613,No,3,10,2,10,7,9
No,33,Non-Travel,3,3,2,Sales Executive,2,Married,6146,No,1,8,4,7,7,7
Yes,56,Travel_Rarely,2,3,1,Research Scientist,2,Married,4963,Yes,3,7,3,5,4,3
No,51,Travel_Rarely,1,3,5,Research Director,3,Single,19537,No,0,23,3,20,18,15
Yes,31,Travel_Rarely,2,1,2,Sales Executive,3,Married,6172,Yes,0,12,2,7,7,7
No,26,Travel_Rarely,3,2,1,Research Scientist,2,Married,2368,No,0,5,2,5,4,3
Yes,58,Travel_Rarely,4,3,3,Healthcare Representative,4,Married,10312,No,1,40,2,40,10,6
Yes,19,Travel_Rarely,4,3,1,Sales Representative,3,Single,1675,Yes,0,0,2,0,0,0
No,22,Travel_Rarely,3,3,1,Laboratory Technician,4,Married,2523,No,1,3,3,2,1,1
No,49,Travel_Rarely,3,3,2,Manufacturing Director,1,Married,6567,No,0,16,2,15,11,11
No,43,Travel_Frequently,2,4,1,Research Scientist,3,Single,4739,No,0,18,3,3,2,2
No,50,Travel_Frequently,3,3,3,Sales Executive,4,Single,9208,No,0,16,3,2,2,1
Yes,31,Travel_Rarely,2,1,2,Sales Executive,3,Married,4559,Yes,1,4,3,2,2,2
No,41,Travel_Rarely,3,3,3,Sales Executive,3,Divorced,8189,Yes,1,12,3,9,7,7
No,26,Travel_Rarely,3,3,1,Human Resources,3,Married,2942,No,1,8,3,8,7,7
No,36,Travel_Rarely,2,3,2,Manufacturing Director,2,Divorced,4941,No,2,7,3,3,2,1
Yes,51,Travel_Frequently,1,1,3,Manufacturing Director,4,Single,10650,No,0,18,3,4,2,3
No,39,Travel_Rarely,4,2,2,Sales Executive,3,Married,5902,No,1,17,4,15,11,9
No,25,Travel_Rarely,1,2,2,Sales Executive,3,Married,8639,No,0,6,3,2,2,2
No,30,Travel_Rarely,3,3,2,Human Resources,4,Married,6347,Yes,0,12,1,11,9,7
Yes,32,Travel_Rarely,1,3,1,Laboratory Technician,1,Single,4200,No,0,10,4,5,4,4
No,45,Travel_Rarely,3,3,1,Research Scientist,4,Single,3452,No,0,9,2,6,5,3
No,38,Travel_Rarely,4,3,2,Research Scientist,3,Single,4317,Yes,0,19,3,3,2,2
No,30,Travel_Rarely,1,3,1,Research Scientist,3,Single,2632,No,0,5,2,5,4,4
No,32,Travel_Frequently,4,1,2,Sales Executive,4,Divorced,4668,No,3,9,4,8,7,7
No,30,Travel_Rarely,4,3,1,Research Scientist,1,Divorced,3204,No,1,8,3,3,2,2
No,30,Travel_Rarely,2,2,1,Laboratory Technician,4,Single,2720,No,0,6,3,5,3,2
No,41,Travel_Frequently,4,2,4,Manager,1,Divorced,17181,No,1,21,2,7,6,7
No,41,Travel_Rarely,3,3,1,Laboratory Technician,1,Married,2238,No,1,7,3,5,0,4
No,19,Travel_Rarely,2,3,1,Laboratory Technician,2,Single,1483,No,0,1,3,1,0,0
No,40,Travel_Frequently,2,3,2,Research Scientist,2,Divorced,5605,No,1,20,3,20,7,13
No,35,Travel_Rarely,3,3,3,Sales Executive,2,Married,7295,No,2,10,3,10,8,6
No,53,Travel_Rarely,2,3,2,Sales Representative,3,Married,2306,Yes,1,13,1,7,7,5
No,45,Travel_Rarely,2,3,2,Laboratory Technician,2,Divorced,2348,No,1,20,1,17,9,15
No,32,Travel_Frequently,2,3,3,Sales Executive,4,Single,8998,No,0,9,3,9,8,7
No,29,Non-Travel,4,3,2,Manufacturing Director,3,Married,4319,No,1,10,3,10,7,9
No,51,Travel_Rarely,2,2,2,Manufacturing Director,3,Married,6132,No,0,10,3,1,0,0
No,58,Travel_Rarely,2,2,1,Research Scientist,2,Married,3346,Yes,1,9,2,1,0,0
No,40,Travel_Rarely,3,2,3,Sales Executive,4,Married,10855,No,1,15,2,12,11,11
No,34,Travel_Frequently,3,3,1,Sales Representative,3,Married,2231,No,1,6,3,4,3,2
No,22,Travel_Rarely,3,3,1,Research Scientist,4,Married,2323,No,2,2,3,2,2,2
No,27,Non-Travel,4,3,1,Research Scientist,2,Divorced,2024,No,1,6,1,2,2,2
No,28,Travel_Rarely,3,3,1,Research Scientist,4,Married,2713,No,1,5,1,5,2,2
No,57,Travel_Rarely,3,4,3,Healthcare Representative,4,Divorced,9439,Yes,1,12,1,5,3,4
No,27,Non-Travel,3,2,1,Research Scientist,3,Divorced,2566,Yes,1,1,2,1,1,1
No,50,Travel_Rarely,3,3,5,Manager,2,Single,19926,No,0,21,3,5,4,4
No,41,Travel_Rarely,1,3,1,Research Scientist,3,Divorced,2451,No,1,13,3,9,8,8
No,30,Travel_Rarely,2,3,3,Sales Executive,4,Married,9419,No,1,12,3,10,9,4
No,38,Travel_Rarely,1,2,2,Sales Executive,4,Single,8686,No,0,12,4,8,3,7
No,32,Travel_Rarely,3,3,1,Research Scientist,3,Single,3038,No,0,8,3,5,4,4
No,27,Travel_Rarely,3,3,1,Research Scientist,2,Married,3058,Yes,1,6,2,5,2,1
Yes,19,Travel_Frequently,3,1,1,Sales Representative,1,Single,2325,No,0,1,4,0,0,0
No,36,Travel_Frequently,4,3,1,Laboratory Technician,2,Single,2088,No,0,13,2,8,7,2
No,30,Non-Travel,3,3,2,Laboratory Technician,1,Divorced,3072,No,2,12,3,12,9,10
No,45,Travel_Rarely,3,3,2,Sales Executive,1,Divorced,5006,Yes,1,9,4,5,4,3
No,56,Travel_Rarely,3,3,1,Research Scientist,1,Divorced,4257,Yes,1,19,3,2,2,2
No,33,Travel_Rarely,3,3,1,Research Scientist,4,Single,2500,No,0,4,4,3,1,2
Yes,19,Travel_Rarely,2,2,1,Laboratory Technician,4,Single,1102,No,0,1,2,1,0,0
No,46,Travel_Rarely,2,3,3,Sales Executive,1,Divorced,10453,No,3,24,3,24,13,7
No,38,Travel_Rarely,3,3,1,Laboratory Technician,4,Single,2288,No,0,2,3,2,2,1
No,31,Travel_Rarely,3,3,1,Research Scientist,4,Married,3929,Yes,1,7,3,4,2,2
No,34,Travel_Rarely,4,3,1,Research Scientist,2,Single,2311,No,0,9,3,3,2,2
Yes,41,Travel_Rarely,2,3,1,Sales Representative,2,Single,3140,Yes,0,4,2,4,3,2
No,50,Travel_Rarely,3,2,1,Laboratory Technician,3,Married,3690,No,1,5,2,3,2,2
No,53,Travel_Rarely,4,4,2,Manufacturing Director,1,Divorced,4450,No,2,5,3,4,2,3
No,33,Travel_Rarely,4,3,1,Research Scientist,2,Married,2756,No,1,8,3,8,7,6
No,40,Travel_Rarely,4,3,5,Manager,3,Married,19033,No,1,21,3,20,8,9
No,55,Travel_Rarely,3,4,5,Research Director,2,Single,18722,No,0,36,3,24,15,15
No,34,Travel_Frequently,4,2,2,Manufacturing Director,3,Married,9547,No,0,10,2,10,9,9
No,51,Travel_Rarely,4,3,4,Healthcare Representative,2,Single,13734,No,0,21,3,7,7,0
No,52,Travel_Rarely,3,2,5,Manager,3,Married,19999,No,1,34,3,33,18,9
No,27,Travel_Rarely,4,3,1,Research Scientist,2,Single,2279,No,0,7,2,7,7,3
Yes,35,Travel_Rarely,2,2,2,Manufacturing Director,3,Married,5916,Yes,0,8,3,1,0,1
No,43,Non-Travel,4,4,1,Research Scientist,4,Divorced,2089,No,3,7,4,5,4,2
No,45,Non-Travel,1,2,4,Manager,4,Married,16792,No,1,22,3,20,8,8
No,37,Travel_Rarely,2,4,1,Research Scientist,1,Married,3564,Yes,1,8,2,8,7,7
No,35,Travel_Frequently,2,3,2,Laboratory Technician,2,Single,4425,No,0,10,3,6,2,2
No,42,Non-Travel,3,3,2,Manufacturing Director,3,Divorced,5265,No,1,11,3,5,3,2
No,38,Travel_Rarely,4,3,2,Manufacturing Director,3,Married,6553,No,0,14,3,1,0,0
No,38,Travel_Rarely,4,3,2,Manufacturing Director,4,Married,6261,No,1,9,1,7,7,7
No,27,Travel_Frequently,3,2,2,Manufacturing Director,1,Married,4298,No,1,6,3,2,2,0
No,49,Non-Travel,4,3,2,Manufacturing Director,4,Divorced,6804,Yes,2,7,3,7,7,7
No,34,Travel_Frequently,4,3,1,Research Scientist,3,Divorced,3815,Yes,1,5,4,5,3,0
No,40,Travel_Rarely,3,3,2,Laboratory Technician,4,Married,2741,Yes,1,15,4,7,2,7
Yes,38,Travel_Rarely,2,3,2,Healthcare Representative,1,Married,6673,Yes,0,17,3,1,0,0
Yes,29,Travel_Rarely,2,3,3,Sales Executive,4,Married,7639,No,3,10,2,10,4,9
No,22,Travel_Rarely,4,4,1,Research Scientist,2,Divorced,2328,Yes,1,4,2,4,2,2
No,36,Travel_Frequently,2,3,1,Laboratory Technician,4,Single,2153,No,0,8,3,8,1,7
No,40,Non-Travel,4,2,2,Healthcare Representative,4,Married,4876,No,1,5,1,3,2,2
No,46,Travel_Rarely,4,3,3,Healthcare Representative,1,Divorced,9396,No,1,17,3,4,2,3
Yes,32,Travel_Rarely,4,1,3,Sales Executive,4,Married,10400,No,0,14,2,14,8,8
No,30,Non-Travel,3,2,3,Manufacturing Director,3,Single,8474,No,0,12,3,11,8,8
No,27,Travel_Frequently,4,3,2,Sales Executive,3,Single,9981,No,0,7,3,7,7,7
No,51,Travel_Rarely,2,2,3,Research Director,2,Married,12490,No,2,16,1,10,9,7
Yes,30,Travel_Rarely,4,3,1,Research Scientist,1,Single,2657,Yes,0,8,3,5,2,4
No,41,Travel_Rarely,4,3,3,Manager,4,Single,13591,Yes,0,16,3,1,0,0
Yes,30,Travel_Frequently,3,2,2,Sales Executive,1,Single,6696,No,0,9,2,6,3,1
Yes,29,Travel_Rarely,3,3,1,Research Scientist,3,Single,2058,No,0,7,2,6,2,5
No,45,Non-Travel,4,2,3,Sales Executive,4,Single,8865,No,0,23,3,19,7,8
No,54,Travel_Rarely,4,3,2,Sales Executive,1,Married,5940,No,1,16,3,6,2,5
No,36,Travel_Rarely,4,3,2,Laboratory Technician,2,Single,5914,No,0,16,4,13,11,7
No,33,Travel_Rarely,3,2,1,Research Scientist,2,Married,2622,No,0,7,3,3,2,1
No,37,Travel_Frequently,2,3,3,Research Director,4,Divorced,12185,Yes,3,10,3,10,8,7
No,38,Travel_Rarely,1,3,3,Sales Executive,3,Divorced,10609,No,2,17,2,16,10,13
No,31,Non-Travel,3,1,2,Manufacturing Director,3,Married,4345,No,1,6,3,5,4,4
No,59,Travel_Rarely,3,2,1,Research Scientist,4,Married,2177,No,1,7,3,1,0,0
No,37,Travel_Frequently,1,3,1,Sales Representative,4,Divorced,2793,No,1,13,3,9,8,8
No,29,Travel_Frequently,2,3,3,Sales Executive,4,Married,7918,No,1,11,3,11,10,1
No,35,Travel_Frequently,3,3,3,Sales Executive,3,Single,8789,No,0,10,4,10,7,8
Yes,29,Travel_Rarely,3,2,1,Research Scientist,4,Single,2389,Yes,0,4,2,4,3,1
No,52,Travel_Rarely,3,2,1,Laboratory Technician,4,Single,3212,No,0,6,2,2,2,2
No,42,Travel_Rarely,3,3,5,Manager,4,Married,19232,No,0,22,3,22,17,15
No,59,Travel_Rarely,2,3,1,Human Resources,3,Married,2267,No,0,7,2,2,2,2
No,50,Travel_Rarely,4,3,5,Manager,4,Divorced,19517,No,1,32,2,7,0,6
Yes,33,Travel_Rarely,3,3,1,Laboratory Technician,4,Married,2436,Yes,1,8,1,5,4,4
No,43,Travel_Rarely,4,3,4,Manager,4,Married,16064,Yes,1,22,3,17,13,9
Yes,33,Travel_Rarely,1,3,1,Laboratory Technician,1,Married,2707,No,0,13,4,9,7,7
No,52,Non-Travel,1,2,5,Manager,3,Single,19068,Yes,0,33,4,33,7,12
No,32,Travel_Rarely,3,3,1,Sales Representative,2,Married,3931,No,1,6,3,4,3,2
Yes,32,Travel_Rarely,4,2,1,Laboratory Technician,3,Single,3730,Yes,0,4,1,3,2,2
No,39,Travel_Rarely,3,3,1,Laboratory Technician,3,Divorced,2232,No,3,7,3,3,2,2
No,32,Non-Travel,3,3,2,Sales Executive,4,Married,4465,No,0,4,3,3,2,2
No,41,Travel_Rarely,3,3,2,Research Scientist,1,Divorced,3072,No,2,17,2,1,0,0
No,40,Travel_Rarely,1,3,2,Research Scientist,4,Divorced,3319,No,2,9,3,9,8,7
No,45,Travel_Rarely,3,4,5,Manager,4,Married,19202,No,1,25,3,24,0,7
No,31,Travel_Frequently,2,3,3,Research Director,3,Divorced,13675,No,1,9,3,2,2,2
No,33,Travel_Rarely,3,2,1,Research Scientist,4,Married,2911,No,1,2,2,2,2,2
No,34,Travel_Rarely,4,2,2,Manufacturing Director,1,Married,5957,No,1,13,3,11,9,9
No,37,Travel_Rarely,3,2,1,Research Scientist,1,Married,3920,No,1,17,2,3,1,2
No,45,Travel_Frequently,1,4,2,Manufacturing Director,3,Married,6434,No,1,9,3,3,2,2
Yes,37,Travel_Frequently,1,3,3,Manufacturing Director,3,Divorced,10048,No,2,17,3,1,0,0
No,39,Travel_Frequently,3,3,3,Healthcare Representative,3,Single,10938,No,0,20,3,19,6,8
No,29,Travel_Rarely,3,3,1,Research Scientist,4,Single,2340,No,0,6,3,6,5,5
No,42,Travel_Rarely,4,4,2,Research Scientist,1,Single,6545,Yes,0,10,3,3,2,2
No,29,Travel_Rarely,4,3,2,Sales Executive,4,Divorced,6931,No,1,10,3,3,2,2
No,25,Travel_Rarely,1,3,2,Manufacturing Director,3,Married,4898,No,2,5,3,4,2,2
No,42,Travel_Rarely,4,2,1,Laboratory Technician,1,Divorced,2593,Yes,1,10,3,9,6,8
No,40,Travel_Rarely,1,3,5,Research Director,3,Divorced,19436,No,1,22,3,21,7,9
No,51,Travel_Rarely,3,3,1,Research Scientist,4,Married,2723,No,0,1,2,1,0,0
Yes,31,Travel_Frequently,3,2,1,Laboratory Technician,2,Single,3479,No,0,6,4,5,4,4
No,32,Travel_Frequently,2,4,1,Laboratory Technician,2,Married,2794,No,0,5,1,5,1,3
No,38,Non-Travel,4,2,2,Sales Executive,4,Married,5249,No,1,13,3,8,7,5
No,32,Travel_Rarely,4,2,2,Laboratory Technician,1,Single,2176,No,0,9,3,6,2,4
No,46,Travel_Rarely,3,1,4,Manager,2,Married,16872,Yes,1,28,2,7,7,7
Yes,28,Travel_Rarely,1,3,1,Laboratory Technician,3,Single,3485,No,0,5,1,0,0,0
No,29,Travel_Rarely,1,2,2,Sales Executive,2,Married,6644,No,2,10,3,0,0,0
No,31,Travel_Rarely,2,2,2,Healthcare Representative,4,Married,5582,No,1,10,3,9,0,8
No,25,Non-Travel,2,4,2,Healthcare Representative,1,Divorced,4000,No,2,6,3,6,3,5
No,45,Travel_Rarely,3,3,4,Healthcare Representative,4,Married,13496,Yes,0,21,3,20,7,10
No,36,Travel_Rarely,4,3,1,Laboratory Technician,4,Married,3210,No,1,16,3,15,13,11
No,55,Travel_Rarely,4,3,5,Manager,1,Single,19045,Yes,0,37,3,36,10,13
Yes,47,Non-Travel,1,3,3,Manager,2,Married,11849,Yes,1,10,2,10,7,9
No,28,Travel_Rarely,4,3,1,Research Scientist,4,Married,2070,No,1,5,2,5,2,4
No,37,Travel_Rarely,3,3,2,Sales Executive,4,Married,6502,No,1,7,4,5,4,1
No,21,Travel_Rarely,4,2,1,Research Scientist,3,Single,3230,No,0,3,4,3,2,0
No,37,Non-Travel,1,3,3,Research Director,4,Divorced,13603,Yes,2,15,3,5,2,2
No,35,Travel_Rarely,2,4,3,Manager,2,Divorced,11996,No,1,10,2,7,7,2
