OverTime,Age,MonthlyIncome,TotalWorkingYears,JobSatisfaction,YearsAtCompany,EnvironmentSatisfaction,WorkLifeBalance,JobLevel,RelationshipSatisfaction,DistanceFromHome,YearsInCurrentRole,MaritalStatus,YearsWithCurrManager,NumCompaniesWorked,StockOptionLevel,DailyRate,JobInvolvement,YearsSinceLastPromotion,JobRole,HourlyRate,PercentSalaryHike,MonthlyRate,TrainingTimesLastYear,EducationField,Education,Gender,cat_BusinessTravel,ord_Department,BusinessTravel,Department,PerformanceRating
1,44,6465,9,4,4,4,4,2,4,10,2,1,3,2,0,1459,3,1,0,41,13,19121,5,4,4,1,1.0,2.0,2,1,3
0,30,2206,10,3,10,4,3,1,1,9,0,2,8,1,0,125,2,1,2,83,13,16117,5,3,2,1,1.0,2.0,2,1,3
0,39,2086,19,4,1,4,4,2,3,5,0,1,0,3,1,895,3,0,8,56,14,3335,6,5,3,1,1.0,1.0,2,2,3
1,24,2293,6,4,2,2,2,1,1,1,0,1,0,2,1,813,3,2,6,61,16,3020,2,3,3,1,1.0,2.0,2,1,3
0,43,2645,6,3,5,4,2,1,4,2,3,0,4,1,2,1273,4,1,6,72,12,21923,3,3,2,0,1.0,2.0,2,1,3
1,50,2683,3,3,3,1,3,1,3,3,2,1,2,1,0,869,2,0,8,86,14,3810,2,2,2,1,1.0,1.0,2,2,3
0,35,2014,2,4,2,4,3,1,1,2,2,1,2,1,0,890,3,2,8,97,13,9687,3,2,3,0,1.0,1.0,2,2,3
1,36,3419,6,1,1,2,4,1,4,5,1,1,0,9,1,852,2,0,6,82,14,13072,3,1,4,0,1.0,2.0,2,1,3
0,33,5376,10,1,5,3,3,2,1,1,3,1,3,2,2,1141,4,1,7,42,19,3193,3,1,3,0,2.0,1.0,1,2,3
0,35,1951,1,4,1,3,3,1,3,4,0,0,0,1,1,464,3,0,2,75,12,10910,3,4,2,1,1.0,2.0,2,1,3
0,27,2341,1,1,1,4,3,1,4,2,0,0,0,1,1,1240,3,0,2,33,13,19715,6,1,4,0,1.0,2.0,2,1,3
0,26,2293,1,3,1,1,2,1,3,25,0,2,1,1,0,1357,1,0,2,48,12,10558,2,1,3,1,1.0,2.0,2,1,3
0,27,8726,9,3,9,4,3,3,4,8,8,2,7,1,0,994,3,1,7,37,15,2975,0,1,3,1,2.0,1.0,1,2,3
0,30,4011,12,4,12,3,3,2,4,1,8,2,7,1,0,721,3,3,2,58,23,10781,2,3,2,0,2.0,2.0,1,1,4
0,41,19545,23,3,22,2,3,5,4,12,15,1,8,1,0,1360,3,15,5,49,12,16280,0,5,3,0,1.0,2.0,2,1,3
0,34,4568,10,3,9,2,3,2,3,23,5,2,7,0,0,1065,3,8,7,72,20,10034,2,2,4,1,3.0,1.0,0,2,4
0,37,3022,8,2,1,2,3,1,1,19,0,1,0,4,0,408,3,0,6,73,21,10227,1,1,2,1,1.0,2.0,2,1,4
1,46,5772,14,4,9,1,3,2,3,5,6,2,8,4,0,1211,3,0,7,98,21,20445,4,2,4,1,2.0,1.0,1,2,4
0,35,2269,1,4,1,4,3,1,4,8,0,1,1,1,0,1229,4,0,2,36,19,4892,2,1,1,1,1.0,2.0,2,1,3
1,48,5381,23,3,1,1,3,3,4,1,0,2,0,9,0,626,2,0,2,98,13,19294,2,1,2,1,1.0,2.0,2,1,3
1,28,3441,2,3,2,3,2,1,3,5,2,2,2,1,0,1434,3,2,2,50,13,11179,3,5,4,1,1.0,2.0,2,1,3
1,44,5454,9,1,4,2,2,2,3,1,3,0,3,5,1,1488,3,1,7,75,21,4009,2,2,5,0,1.0,1.0,2,2,4
1,35,9884,10,1,4,3,3,3,3,11,0,1,3,2,1,1097,2,2,0,79,13,8302,3,3,2,1,3.0,2.0,0,1,3
1,26,4157,5,4,2,3,2,2,3,23,2,1,0,7,1,1443,2,0,7,47,19,21436,2,2,3,0,1.0,1.0,2,2,3
1,33,13458,15,4,15,1,3,3,3,1,14,2,12,1,0,515,3,8,5,98,12,15146,1,1,2,0,2.0,2.0,1,1,3
0,35,9069,9,1,9,2,2,3,4,18,8,1,8,1,1,853,3,1,7,71,22,11031,3,1,5,1,2.0,1.0,1,2,4
1,35,4014,4,1,2,3,3,1,3,23,2,1,2,3,1,1142,3,2,2,30,15,16002,3,3,4,0,1.0,2.0,2,1,3
0,31,5915,10,4,7,4,2,2,4,7,7,0,7,3,1,655,3,1,2,48,22,9528,3,1,4,1,1.0,2.0,2,1,4
0,37,5993,7,3,7,1,4,2,3,1,5,0,7,1,1,1115,2,0,4,51,18,2689,2,1,4,1,1.0,2.0,2,1,3
1,32,6162,9,4,9,1,3,2,2,1,8,1,8,1,1,427,3,7,4,33,22,10877,3,3,3,1,1.0,2.0,2,1,4
0,38,2406,10,4,10,4,3,2,4,29,3,2,9,1,0,653,3,9,2,50,11,5456,2,1,5,0,2.0,2.0,1,1,3
1,50,18740,29,3,27,2,2,5,4,7,3,0,8,5,1,989,2,13,5,43,12,16701,2,3,2,0,1.0,2.0,2,1,3
0,59,7637,28,1,21,1,2,3,4,25,16,2,9,7,0,1435,3,7,7,99,11,2354,3,1,3,0,1.0,1.0,2,2,3
0,36,10096,17,3,17,3,3,3,2,8,14,0,8,1,3,1223,3,12,0,59,13,8202,2,5,3,0,1.0,2.0,2,1,3
1,55,14756,21,3,5,4,3,4,3,8,0,0,2,2,3,836,3,0,3,33,14,19730,2,3,3,0,1.0,2.0,2,1,3
0,36,6499,6,2,6,2,3,2,3,11,5,2,3,1,0,1195,2,0,4,95,13,22656,3,1,3,1,2.0,2.0,1,1,3
0,45,9724,25,1,1,2,3,3,3,7,0,0,0,2,1,1339,3,0,6,59,17,18787,2,1,3,1,1.0,2.0,2,1,3
0,35,2194,5,1,3,2,2,1,4,1,2,1,2,4,1,664,3,1,6,79,13,5868,2,3,3,1,2.0,2.0,1,1,3
1,36,3388,2,3,1,4,2,1,1,9,0,1,0,0,1,318,2,0,6,79,17,21777,0,3,3,1,1.0,2.0,2,1,3
0,59,5473,20,3,4,1,2,2,4,1,3,2,3,7,0,1225,2,1,7,57,11,24668,2,1,1,0,2.0,1.0,1,2,3
0,29,2703,6,2,5,3,3,1,4,2,4,1,4,0,1,1328,3,0,6,76,23,4956,3,1,3,1,1.0,2.0,2,1,4
0,31,2501,1,2,1,3,3,1,2,1,1,2,0,1,0,1082,3,1,6,87,17,18775,4,3,4,1,1.0,2.0,2,1,3
0,32,6220,10,2,10,2,3,2,2,1,4,1,9,1,2,548,3,0,6,66,17,7346,3,1,3,1,1.0,2.0,2,1,3
0,36,3038,5,4,1,2,3,1,2,6,0,1,0,3,0,132,4,0,2,55,12,22002,3,1,3,0,1.0,2.0,2,1,3
0,31,4424,11,4,11,3,3,2,4,8,7,2,8,1,0,746,3,1,4,61,23,20682,2,1,4,0,1.0,2.0,2,1,4
0,35,4312,16,1,15,3,3,2,2,1,13,2,8,0,0,776,2,2,7,32,14,23016,2,2,4,1,1.0,1.0,2,2,3
1,45,13245,17,1,0,4,4,3,2,6,0,1,0,4,0,193,3,0,5,52,14,15067,3,4,4,1,1.0,2.0,2,1,3
0,37,13664,16,3,5,1,4,3,1,7,2,2,2,4,0,397,3,0,5,30,13,25258,3,3,4,1,1.0,2.0,2,1,3
1,46,5021,16,2,4,2,3,2,4,5,2,0,2,8,1,945,3,0,1,80,22,10425,2,3,2,1,1.0,3.0,2,0,4
1,30,5126,10,4,10,4,2,2,3,1,8,1,0,1,2,852,2,3,2,55,12,15998,1,1,1,1,1.0,2.0,2,1,3
0,35,2859,6,3,6,2,3,1,1,1,4,2,4,1,0,1214,2,0,6,30,18,26278,3,3,3,1,1.0,2.0,2,1,3
0,55,10239,24,4,1,1,3,3,4,1,0,1,0,3,1,111,3,1,7,70,14,18092,4,1,2,1,1.0,1.0,2,2,3
1,38,5329,17,4,13,2,3,2,4,6,11,0,9,7,3,573,1,1,6,79,12,15717,3,3,3,0,3.0,2.0,0,1,3
0,34,4325,5,2,5,1,3,2,3,1,2,1,3,1,0,1153,3,1,4,94,15,17736,2,3,2,1,1.0,2.0,2,1,3
0,56,7260,37,4,6,4,2,3,1,7,4,2,2,4,0,1400,1,0,4,49,11,21698,3,1,3,1,1.0,2.0,2,1,3
0,23,2322,3,1,0,3,3,1,3,2,0,0,0,3,1,541,3,0,8,62,13,9518,3,5,1,1,1.0,1.0,2,2,3
0,51,2075,10,4,4,4,3,1,2,9,2,1,3,3,2,432,3,0,2,96,23,18725,4,1,4,1,1.0,2.0,2,1,4
0,30,4152,11,4,11,3,3,2,1,2,10,1,8,1,3,288,2,10,0,99,19,15830,3,1,3,1,1.0,2.0,2,1,3
0,46,9619,9,4,9,3,3,3,4,9,8,2,7,1,0,669,2,4,7,64,16,13596,3,3,2,1,1.0,1.0,2,2,3
0,40,13503,22,2,22,3,2,4,4,1,3,1,11,1,1,530,2,11,0,78,22,14115,3,1,4,1,2.0,2.0,1,1,4
1,51,5441,11,4,10,3,1,2,4,21,7,2,0,0,0,632,3,1,7,71,22,8423,2,2,4,1,1.0,1.0,2,2,4
1,30,5209,11,2,11,3,2,2,2,4,8,0,7,1,3,1334,2,2,7,63,12,19760,4,3,2,0,1.0,1.0,2,2,3
1,46,10673,21,1,10,3,2,3,3,1,9,1,5,2,1,638,2,9,0,40,13,3142,5,3,3,1,2.0,2.0,1,1,3
0,32,5010,12,3,11,2,3,2,1,6,8,2,7,1,0,1093,3,5,7,87,16,24301,0,3,4,1,1.0,1.0,2,2,3
0,54,13549,16,3,4,1,1,3,1,2,3,1,3,9,1,1217,3,0,5,60,12,24001,5,5,4,0,1.0,2.0,2,1,3
0,24,4999,4,3,3,1,2,2,1,3,2,1,2,0,1,1353,3,0,7,33,21,17519,2,4,2,0,1.0,1.0,2,2,4
0,28,4221,5,3,5,2,4,2,2,4,4,1,4,1,0,120,3,0,7,43,15,8863,3,3,3,1,3.0,1.0,0,2,3
0,58,13872,38,3,37,4,2,4,3,10,10,2,8,0,0,682,3,1,7,37,13,24409,1,3,4,1,1.0,1.0,2,2,3
0,44,2042,17,2,3,2,4,2,3,23,2,1,2,4,1,489,3,1,2,67,12,25043,3,3,3,1,3.0,2.0,0,1,3
1,37,2073,7,1,3,3,3,1,4,6,2,0,2,4,0,807,3,0,1,63,22,23648,3,0,4,1,1.0,3.0,2,0,4
0,32,2956,1,1,1,4,3,1,4,1,0,2,0,1,0,827,3,0,6,71,13,15178,2,1,1,1,1.0,2.0,2,1,3
1,20,2926,1,4,1,4,3,1,2,6,0,2,0,1,0,871,2,1,2,66,18,19783,5,1,3,0,2.0,2.0,1,1,3
0,34,4809,16,3,16,1,3,2,3,6,13,2,10,1,0,665,3,2,6,41,14,12482,3,4,4,0,1.0,2.0,2,1,3
0,37,5163,17,4,1,3,4,2,4,2,0,0,0,5,1,1040,2,0,0,100,14,15850,2,1,2,1,3.0,2.0,0,1,3
0,59,18844,30,4,3,3,3,5,4,2,2,1,2,9,1,1420,2,2,3,32,21,21922,3,0,4,0,3.0,3.0,0,0,4
1,50,18172,28,2,8,1,2,5,1,1,3,1,7,3,0,1115,3,0,5,73,19,9755,1,1,3,0,2.0,2.0,1,1,3
1,25,5744,6,3,6,3,3,2,4,5,4,2,3,1,0,240,2,0,7,46,11,26959,1,2,3,1,1.0,1.0,2,2,3
0,25,2889,2,4,2,4,3,1,3,7,2,1,1,1,2,1280,2,2,6,64,11,26897,2,3,1,1,1.0,2.0,2,1,3
0,22,2871,1,4,0,2,3,1,3,15,0,2,0,1,0,534,3,0,2,59,15,23785,5,3,3,0,1.0,2.0,2,1,3
0,51,7484,23,1,13,1,2,3,3,1,12,2,8,3,0,1456,2,12,0,30,20,25796,1,3,4,0,2.0,2.0,1,1,4
1,34,6074,9,3,9,1,3,2,4,7,7,2,6,1,0,658,1,0,2,66,24,22887,3,1,3,1,2.0,2.0,1,1,4
1,54,17328,23,4,5,4,3,4,3,26,3,2,4,2,0,142,4,4,3,30,12,13871,3,0,3,0,3.0,3.0,0,0,3
0,24,2774,6,3,5,2,3,1,3,18,3,1,2,0,1,1127,3,1,2,52,12,13257,2,1,1,1,1.0,2.0,2,1,3
0,34,4505,12,2,1,3,3,2,3,6,0,0,0,6,1,1031,2,0,6,45,15,15000,3,1,4,0,1.0,2.0,2,1,3
0,37,7428,12,4,5,3,3,3,1,3,3,2,3,2,0,1189,3,1,7,87,12,14506,3,1,3,1,1.0,1.0,2,2,3
0,34,11631,14,1,11,3,3,3,4,5,10,2,8,2,0,1354,2,5,3,45,12,5615,6,3,3,0,1.0,2.0,2,1,3
0,36,9738,10,4,9,2,3,3,3,11,7,1,8,0,1,1467,3,2,7,92,14,22952,6,5,2,0,2.0,1.0,1,2,3
0,36,2835,7,4,1,1,3,1,1,3,0,0,0,5,1,922,3,0,2,39,22,2561,2,1,2,0,1.0,2.0,2,1,4
1,43,16959,25,4,25,3,4,4,4,26,12,1,12,1,2,394,3,4,3,92,12,19494,3,1,2,1,2.0,1.0,1,2,3
0,30,2613,10,3,10,1,2,1,3,23,7,0,9,1,3,1312,1,0,6,96,25,22310,2,1,3,1,2.0,2.0,1,1,4
0,33,6146,8,2,7,3,4,2,1,22,7,1,7,0,1,750,3,0,7,95,13,15480,2,2,2,1,3.0,1.0,0,2,3
1,56,4963,7,2,5,2,3,1,1,14,4,1,3,9,3,441,3,4,6,72,18,4510,2,1,4,0,1.0,2.0,2,1,3
0,51,19537,23,3,20,1,3,5,3,6,18,2,15,7,0,684,3,15,5,51,13,6462,5,1,3,1,1.0,2.0,2,1,3
1,31,6172,12,3,7,2,2,2,2,6,7,1,7,4,0,249,1,7,7,76,18,20739,3,1,4,1,1.0,1.0,2,2,3
0,26,2368,5,2,5,3,2,1,3,6,4,1,3,1,0,841,2,4,6,46,19,23300,3,4,3,0,1.0,2.0,2,1,3
0,58,10312,40,4,40,4,2,3,4,23,10,1,6,1,1,147,3,15,0,94,12,3465,3,3,4,0,1.0,2.0,2,1,3
1,19,1675,0,3,0,4,2,1,4,22,0,2,0,1,0,528,3,0,8,50,19,26820,2,2,1,1,1.0,1.0,2,2,3
0,22,2523,3,4,2,3,3,1,3,2,1,1,1,0,1,594,3,2,2,100,14,19299,2,5,1,1,1.0,2.0,2,1,3
0,49,6567,16,1,15,3,2,2,3,20,11,1,11,1,0,470,3,5,4,96,14,5549,2,3,4,0,1.0,2.0,2,1,3
0,43,4739,18,3,3,2,3,1,4,28,2,2,2,4,0,957,4,1,6,72,12,16090,2,3,3,0,2.0,2.0,1,1,3
0,50,9208,16,4,2,3,3,3,4,12,2,2,1,4,0,809,3,2,7,77,11,6645,3,2,3,0,2.0,1.0,1,2,3
1,31,4559,4,3,2,2,3,2,3,20,2,1,2,3,1,542,1,2,7,71,11,24788,2,1,3,0,1.0,1.0,2,2,3
1,41,8189,12,3,9,3,3,3,3,9,7,0,7,3,1,802,3,0,7,96,13,21196,2,1,1,1,1.0,1.0,2,2,3
0,26,2942,8,3,8,3,3,1,4,25,7,1,7,1,1,1355,3,5,1,61,23,8916,3,1,1,0,1.0,3.0,2,0,4
0,36,4941,7,2,3,2,3,2,4,6,2,0,1,6,2,216,3,0,4,84,20,2819,0,3,2,1,1.0,2.0,2,1,4
0,51,10650,18,4,4,1,3,3,4,8,2,2,3,2,0,1150,1,0,4,53,15,25150,2,1,4,1,2.0,2.0,1,1,3
0,39,5902,17,3,15,4,4,2,3,4,11,1,9,4,1,1329,2,5,7,47,14,14590,1,1,4,0,1.0,1.0,2,2,3
0,25,8639,6,3,2,1,3,2,4,28,2,1,2,2,0,959,2,2,7,41,18,24835,3,1,3,1,1.0,1.0,2,2,3
1,30,6347,12,4,11,3,1,2,4,9,9,1,7,0,0,1240,3,4,1,48,19,13982,2,0,3,1,1.0,3.0,2,0,3
0,32,4200,10,1,5,1,4,1,1,9,4,2,4,7,0,1033,3,0,2,41,22,10224,2,3,3,0,1.0,2.0,2,1,4
0,45,3452,9,4,6,3,2,1,2,29,5,2,3,5,0,1316,3,0,6,83,13,9752,2,3,3,1,1.0,2.0,2,1,3
1,38,4317,19,3,3,4,3,2,2,3,2,2,2,3,0,364,3,2,6,32,20,2302,2,5,5,0,1.0,2.0,2,1,4
0,30,2632,5,3,5,1,2,1,3,18,4,2,4,1,0,438,3,0,6,75,14,23910,4,1,3,0,1.0,2.0,2,1,3
0,32,4668,9,4,8,4,4,2,4,9,7,0,7,0,3,689,1,0,7,35,17,22812,2,3,2,1,2.0,1.0,1,2,3
0,30,3204,8,1,3,4,3,1,4,5,2,0,2,5,1,201,3,2,6,84,14,10415,3,5,3,0,1.0,2.0,2,1,3
0,30,2720,6,4,5,2,3,1,4,2,3,2,2,0,0,1427,2,1,2,35,13,11162,3,3,1,1,1.0,2.0,2,1,3
0,41,17181,21,1,7,4,2,4,2,10,6,0,7,4,1,857,2,7,3,91,13,12888,2,1,3,1,2.0,2.0,1,1,3
0,41,2238,7,1,5,3,3,1,4,9,0,1,4,2,1,933,3,1,2,94,21,6961,2,1,4,1,1.0,2.0,2,1,4
0,19,1483,1,2,1,2,3,1,4,3,0,2,0,1,0,1181,3,0,2,79,14,16102,3,3,1,0,1.0,2.0,2,1,3
0,40,5605,20,2,20,2,3,2,1,26,7,0,13,1,1,1395,3,2,6,54,11,8504,2,3,3,0,2.0,2.0,1,1,3
0,35,7295,10,2,10,3,3,3,1,1,8,1,6,1,2,662,3,0,7,94,13,11439,3,2,5,1,1.0,1.0,2,2,3
1,53,2306,13,3,7,2,1,2,4,6,7,1,5,2,1,1436,3,4,8,34,20,16047,3,2,2,1,1.0,1.0,2,2,4
0,45,2348,20,2,17,2,1,2,3,9,9,0,15,8,1,194,3,0,2,60,18,10901,2,1,3,1,1.0,2.0,2,1,3
0,32,8998,9,4,9,2,3,3,4,8,8,2,7,1,0,967,3,3,7,43,14,15589,2,2,3,0,2.0,1.0,1,2,3
0,29,4319,10,3,10,4,3,2,1,1,7,1,9,1,1,1496,3,0,4,41,13,26283,1,5,1,1,3.0,2.0,0,1,3
0,51,6132,10,3,1,2,3,2,3,7,0,1,0,2,0,1169,2,0,4,34,17,13983,2,3,4,1,1.0,2.0,2,1,3
1,58,3346,9,2,1,2,2,1,2,9,0,1,0,4,1,1145,2,0,6,75,20,11873,3,3,3,0,1.0,2.0,2,1,4
0,40,10855,15,4,12,3,2,3,1,4,11,1,11,7,1,630,2,2,7,67,11,8552,2,2,4,1,1.0,1.0,2,2,3
0,34,2231,6,3,4,3,3,1,4,2,3,1,2,6,1,303,3,1,8,75,18,11314,3,2,4,0,2.0,1.0,1,2,3
0,22,2323,2,4,2,3,3,1,1,19,2,1,2,1,2,1256,3,2,6,80,24,11992,6,3,1,1,1.0,2.0,2,1,4
0,27,2024,6,2,2,4,1,1,4,9,2,0,2,6,1,691,3,2,6,57,18,5970,1,3,3,1,3.0,2.0,0,1,3
0,28,2713,5,4,5,3,1,1,3,21,2,1,2,1,1,440,3,0,6,42,11,6672,2,3,3,1,1.0,2.0,2,1,3
1,57,9439,12,4,5,3,1,3,2,24,3,0,4,3,1,334,4,1,0,83,16,23402,2,1,2,1,1.0,2.0,2,1,3
1,27,2566,1,3,1,3,2,1,4,3,1,0,1,1,1,1450,2,0,6,79,15,25326,2,3,3,1,3.0,2.0,0,1,3
0,50,19926,21,2,5,3,3,5,2,11,4,2,4,3,0,1452,3,4,3,53,15,17053,5,1,3,0,1.0,2.0,2,1,3
0,41,2451,13,3,9,1,3,1,1,14,8,0,8,4,1,465,3,1,6,56,12,4609,2,1,3,1,1.0,2.0,2,1,3
0,30,9419,12,4,10,2,3,3,3,5,9,1,4,2,1,1339,3,7,7,41,12,8053,2,1,3,0,1.0,1.0,2,2,3
0,38,8686,12,4,8,1,4,2,3,1,3,2,7,4,0,702,2,0,7,59,22,12930,2,1,4,0,1.0,1.0,2,2,4
0,32,3038,8,3,5,3,3,1,1,6,4,2,4,3,0,120,3,1,6,43,20,12430,2,1,5,1,1.0,2.0,2,1,4
1,27,3058,6,2,5,3,2,1,4,17,2,1,1,0,1,1157,3,1,6,51,16,13364,3,5,3,1,1.0,2.0,2,1,3
0,19,2325,1,1,0,3,4,1,1,1,0,2,0,0,0,602,1,0,8,100,21,20989,5,5,1,0,2.0,1.0,1,2,4
0,36,2088,13,2,8,4,2,1,3,3,7,2,2,4,0,1480,3,7,2,30,12,15062,3,3,2,1,2.0,2.0,1,1,3
0,30,3072,12,1,12,3,3,2,3,9,9,0,10,1,2,111,3,6,2,66,11,11012,4,3,3,1,3.0,2.0,0,1,3
1,45,5006,9,1,5,3,4,2,1,4,4,0,3,4,1,1268,3,0,7,30,11,6319,3,1,2,0,1.0,1.0,2,2,3
1,56,4257,19,1,2,3,3,1,3,8,2,0,2,4,1,713,3,2,6,67,18,13939,3,1,3,0,1.0,2.0,2,1,3
0,33,2500,4,4,3,3,4,1,1,2,1,2,2,0,0,134,3,0,6,90,14,10515,2,1,3,1,1.0,2.0,2,1,3
0,19,1102,1,4,1,2,2,1,3,2,0,2,0,1,0,303,2,1,2,47,22,9241,3,1,3,1,1.0,2.0,2,1,4
0,46,10453,24,1,24,2,3,3,3,1,13,0,7,1,3,526,3,15,7,92,25,2137,2,2,2,0,1.0,1.0,2,2,4
0,38,2288,2,4,2,3,3,1,3,9,2,2,1,1,0,1380,3,2,2,75,12,6319,3,1,2,0,1.0,2.0,2,1,3
1,31,3929,7,4,4,3,3,1,3,12,2,1,2,8,1,140,3,0,6,95,23,6984,0,3,1,0,1.0,2.0,2,1,4
0,34,2311,9,2,3,4,3,1,4,27,2,2,2,2,0,629,3,1,6,95,15,5711,3,3,2,0,1.0,2.0,2,1,3
1,41,3140,4,2,4,2,2,1,4,20,3,2,2,1,0,1356,3,0,8,70,22,21728,5,2,2,0,1.0,1.0,2,2,4
0,50,3690,5,3,3,3,2,1,4,1,2,1,2,2,1,328,2,0,2,86,15,3425,2,3,3,1,1.0,2.0,2,1,3
0,53,4450,5,1,4,4,3,2,3,13,2,0,3,1,2,1084,4,1,4,57,11,26250,3,3,2,0,1.0,2.0,2,1,3
0,33,2756,8,2,8,4,3,1,4,14,7,1,6,1,1,931,3,1,6,72,13,4673,5,3,3,0,1.0,2.0,2,1,3
0,40,19033,21,3,20,4,3,5,2,4,8,1,9,1,1,989,3,9,3,46,14,6499,2,3,1,0,1.0,2.0,2,1,3
0,55,18722,36,2,24,3,3,5,4,14,15,2,15,8,0,692,4,2,5,61,11,13339,3,3,4,1,1.0,2.0,2,1,3
0,34,9547,10,3,10,4,2,2,3,2,9,1,9,1,0,1069,2,1,4,45,17,14074,2,1,1,1,2.0,2.0,1,1,3
0,51,13734,21,2,7,4,3,4,3,3,7,2,0,3,0,313,3,1,0,98,18,7192,6,3,3,0,1.0,2.0,2,1,3
0,52,19999,34,3,33,3,3,5,1,1,18,1,9,0,1,699,2,11,3,65,14,5678,5,1,4,1,1.0,2.0,2,1,3
